conceptid,Value,ValueType,Provider
RELATIONSHIP_TYPE:1,1,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:2,2,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:3,3,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:4,4,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:5,5,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:6,6,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:7,7,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:8,8,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:9,9,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:10,10,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:11,11,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:12,12,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:13,13,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:14,14,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:15,15,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:16,16,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:17,17,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:18,18,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:19,19,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:20,20,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:21,21,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:22,22,sortorder,PRESERVE/scapes
RELATIONSHIP_TYPE:23,23,sortorder,PRESERVE/scapes
