conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
CONSTRUCTION_TECHNIQUE:1,Windows,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Collector,CRNHA
CONSTRUCTION_TECHNIQUE:2,1 over 1,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:3,2 over 2,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:4,4 over 1,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:5,6 over 6,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:6,9 over 9,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:7,12 over 12,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:8,1 over 2,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:9,1 over 3,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:10,1 over 4,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:11,1 over 6,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:12,1 over 9,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:13,1 over 12,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:14,6 over 9,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:15,Multi-,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:16,Stained-Glass,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:17,Diamond,,CONSTRUCTION_TECHNIQUE:1,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:18,Carved,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,CRNHA
CONSTRUCTION_TECHNIQUE:19,Etched,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,CRNHA
