conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
NHRP_CAT:1,Administrative,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:2,Agricultural/Subsistence,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:3,Domestic,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:4,Hospital-Related,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:5,Recreational and Cultural,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:6,Religious,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:7,Security- Maintenance- and Utility-Related,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:8,Landscape-Related,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:9,Transportation-Related,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:10,Wooded Areas,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:11,Natural Hydrologic Features,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:12,Artificial Hydrologic Features,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:13,Vegetated Fields,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:14,Designed Plantings (Building-Defined Spaces),,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:15,Designed Plantings (Stand-Alone Vegetation),,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:16,Archaeology,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:17,Topography,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:18,Spatial Organization,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
NHRP_CAT:19,Vistas and Viewsheds,,NHRP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
