conceptid,Value,ValueType,Provider
NHRP_CAT:1,1,sortorder,preserveSCAPES
NHRP_CAT:2,2,sortorder,preserveSCAPES
NHRP_CAT:3,3,sortorder,preserveSCAPES
NHRP_CAT:4,4,sortorder,preserveSCAPES
NHRP_CAT:5,5,sortorder,preserveSCAPES
NHRP_CAT:6,6,sortorder,preserveSCAPES
NHRP_CAT:7,7,sortorder,preserveSCAPES
NHRP_CAT:8,8,sortorder,preserveSCAPES
NHRP_CAT:9,9,sortorder,preserveSCAPES
NHRP_CAT:10,10,sortorder,preserveSCAPES
NHRP_CAT:11,11,sortorder,preserveSCAPES
NHRP_CAT:12,12,sortorder,preserveSCAPES
NHRP_CAT:13,13,sortorder,preserveSCAPES
NHRP_CAT:14,14,sortorder,preserveSCAPES
NHRP_CAT:15,15,sortorder,preserveSCAPES
NHRP_CAT:16,16,sortorder,preserveSCAPES
NHRP_CAT:17,17,sortorder,preserveSCAPES
NHRP_CAT:18,18,sortorder,preserveSCAPES
NHRP_CAT:19,19,sortorder,preserveSCAPES
