conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
NHRP_SUBCAT:1,Agricultural Outbuilding,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:2,Archeology,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:3,Auditorium,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:4,Business,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:5,Correctional Facility,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:6,Designed Plantings - Building-Defined Spaces,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:7,Designed Plantings - Stand-Alone Vegetation,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:8,Energy Facility,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:9,Horticultural Facility,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:10,Hospital,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:11,Hydrologic Feature - Artificial,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:12,Hydrologic Feature - Natural,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:13,Medical Office,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:14,Monument/Marker,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:15,Multiple Dwelling,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:16,Music Facility,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:17,Outdoor Recreation,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:18,Pedestrian-Related,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:19,Public Works,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:20,Religious Facility,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:21,Road-Related (Vehicular),,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:22,Secondary Structure,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:23,Single Dwelling,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:24,Spatial Organization,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:25,Sports Facility,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:26,Street Furniture/Object,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:27,Topography,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:28,Vegetated Field,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:29,Views,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:30,Waterworks,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:31,Wooded Area,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NHRP_SUBCAT:32,Work of Art,,NHRP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
