conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
SIG_PERIOD:1,Corn Rigs: George W. Riggs Farm (1842-1851),,PERIOD_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
SIG_PERIOD:2,The Military Asylum (1851-1858),,PERIOD_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
SIG_PERIOD:3,The Soldiers' Home (1859-1865),,PERIOD_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
SIG_PERIOD:4,Building a Park (1866-1883),,PERIOD_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
SIG_PERIOD:5,Establishing a Balance (1883-1900),,PERIOD_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
SIG_PERIOD:6,Planning for the New Century (1901-1918),,PERIOD_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
SIG_PERIOD:7,The Granger Master Plan and Beyond (1919-1940),,PERIOD_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
SIG_PERIOD:8,World War II and Cold War Planning (1941-1951),,PERIOD_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
SIG_PERIOD:9,Modified Master Plans (1952-1968),,PERIOD_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
SIG_PERIOD:10,Reassessing for the Future (1969-present),,PERIOD_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
SIG_PERIOD:11,"Prehistoric (9,000 BC-European Contact)",,PERIOD_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
