conceptid,Value,ValueType,Provider
STYLE:1,1,sortorder,preserveSCAPES
STYLE:2,2,sortorder,preserveSCAPES
STYLE:3,3,sortorder,preserveSCAPES
STYLE:4,4,sortorder,preserveSCAPES
STYLE:5,5,sortorder,preserveSCAPES
STYLE:6,6,sortorder,preserveSCAPES
STYLE:7,7,sortorder,preserveSCAPES
STYLE:8,8,sortorder,preserveSCAPES
STYLE:9,9,sortorder,preserveSCAPES
STYLE:10,10,sortorder,preserveSCAPES
STYLE:11,11,sortorder,preserveSCAPES
STYLE:12,12,sortorder,preserveSCAPES
STYLE:13,13,sortorder,preserveSCAPES
STYLE:14,14,sortorder,preserveSCAPES
STYLE:15,15,sortorder,preserveSCAPES
STYLE:16,16,sortorder,preserveSCAPES
STYLE:17,17,sortorder,preserveSCAPES
STYLE:18,18,sortorder,preserveSCAPES
STYLE:19,19,sortorder,preserveSCAPES
STYLE:20,20,sortorder,preserveSCAPES
STYLE:21,21,sortorder,preserveSCAPES
STYLE:22,22,sortorder,preserveSCAPES
STYLE:23,23,sortorder,preserveSCAPES
STYLE:24,24,sortorder,preserveSCAPES
STYLE:25,25,sortorder,preserveSCAPES
STYLE:26,26,sortorder,preserveSCAPES
STYLE:27,27,sortorder,preserveSCAPES
STYLE:28,28,sortorder,preserveSCAPES
STYLE:29,29,sortorder,preserveSCAPES
STYLE:30,30,sortorder,preserveSCAPES
STYLE:31,31,sortorder,preserveSCAPES
STYLE:32,32,sortorder,preserveSCAPES
STYLE:33,33,sortorder,preserveSCAPES
STYLE:34,34,sortorder,preserveSCAPES
STYLE:35,35,sortorder,preserveSCAPES
STYLE:36,36,sortorder,preserveSCAPES
STYLE:37,37,sortorder,preserveSCAPES
STYLE:38,38,sortorder,preserveSCAPES
STYLE:39,39,sortorder,preserveSCAPES
STYLE:40,40,sortorder,preserveSCAPES
STYLE:41,41,sortorder,preserveSCAPES
STYLE:42,42,sortorder,preserveSCAPES
STYLE:43,43,sortorder,preserveSCAPES
STYLE:44,44,sortorder,preserveSCAPES
STYLE:45,45,sortorder,preserveSCAPES
