conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
ACTB_USE:1,Residential,,ACTIVITY_B_USE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACTB_USE:2,Commercial/Office,,ACTIVITY_B_USE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACTB_USE:3,Commercial/Retail,,ACTIVITY_B_USE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACTB_USE:4,Hotel,,ACTIVITY_B_USE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACTB_USE:5,Assisted Living,,ACTIVITY_B_USE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACTB_USE:6,Medical,,ACTIVITY_B_USE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACTB_USE:7,Recreation,,ACTIVITY_B_USE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACTB_USE:8,Civic,,ACTIVITY_B_USE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACTB_USE:9,Education,,ACTIVITY_B_USE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACTB_USE:10,Religious,,ACTIVITY_B_USE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACTB_USE:11,Other,,ACTIVITY_B_USE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
