conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
ACT_PROC:1,HP SOP #1 - Section 106,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:2,HP SOP #2 - Adaptive Use,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:3,HP SOP #3 - Maintenance,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:4,HP SOP #4 - Repair,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:5,HP SOP #5 - Restoration,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:6,HP SOP #6 - Alteration,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:7,HP SOP #7 - Abandonment/ Mothballing,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:8,HP SOP #8 - Demolition/Removal,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:9,"HP SOP #9 - Transfer, Negotiated Sale",,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:10,"Donation, Sale",,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:11,HP SOP #10 - Ground Lease,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:12,HP SOP #11 - New Construction,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:13,HP SOP #12 - Ground Disturbance and Treatment of Archaeological Resources,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:14,HP SOP #13 - Responding to ARPA Violation,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:15,HP SOP #14 - Coordination of NEPA,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:16,HP SOP #15 - Emergency Activities,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:17,HP SOP #16 - National Security-Related Activities,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_PROC:18,Other,,ACTIVITY_PROCEDURE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
