conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
ACTOR_TYPE:1,Individual,,ACTOR_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
ACTOR_TYPE:2,Architect,,ACTOR_TYPE:1,Index,GCI
ACTOR_TYPE:3,Artist ,,ACTOR_TYPE:1,Index,GCI
ACTOR_TYPE:4,Blacksmith,,ACTOR_TYPE:1,Index,PRESERVE/scapes
ACTOR_TYPE:5,Builder,,ACTOR_TYPE:1,Index,GCI
ACTOR_TYPE:6,Clergy,,ACTOR_TYPE:1,Index,CRNHA
ACTOR_TYPE:7,Designer,,ACTOR_TYPE:1,Index,PRESERVE/scapes
ACTOR_TYPE:8,Engineer,,ACTOR_TYPE:1,Index,PRESERVE/scapes
ACTOR_TYPE:9,Entertainer,,ACTOR_TYPE:1,Index,GCI
ACTOR_TYPE:10,Iron Monger,,ACTOR_TYPE:1,Index,PRESERVE/scapes
ACTOR_TYPE:11,Mason,,ACTOR_TYPE:1,Index,PRESERVE/scapes
ACTOR_TYPE:12,Photographer,,ACTOR_TYPE:1,Index,GCI
ACTOR_TYPE:13,Sculptor,,ACTOR_TYPE:1,Index,PRESERVE/scapes
ACTOR_TYPE:14,Surveyor,,ACTOR_TYPE:1,Index,GCI
ACTOR_TYPE:15,Group,,ACTOR_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
ACTOR_TYPE:16,Architecture/Design Firm,,ACTOR_TYPE:15,Index,GCI
ACTOR_TYPE:17,Congregation,,ACTOR_TYPE:15,Index,CRNHA
ACTOR_TYPE:18,Construction Firm,,ACTOR_TYPE:15,Index,GCI
ACTOR_TYPE:19,Engineering Firm,,ACTOR_TYPE:15,Index,GCI
ACTOR_TYPE:20,Family,,ACTOR_TYPE:15,Index,GCI
ACTOR_TYPE:21,Foundrey,,ACTOR_TYPE:15,Index,PRESERVE/scapes
ACTOR_TYPE:22,Organization,,ACTOR_TYPE:15,Index,GCI
ACTOR_TYPE:23,Surveying Firm,,ACTOR_TYPE:15,Index,GCI
