conceptid,Value,ValueType,Provider
ARCH_ZONE:1,1,sortorder,PRESERVE/scapes
ARCH_ZONE:2,2,sortorder,PRESERVE/scapes
ARCH_ZONE:3,3,sortorder,PRESERVE/scapes
ARCH_ZONE:4,4,sortorder,PRESERVE/scapes
ARCH_ZONE:5,5,sortorder,PRESERVE/scapes
ARCH_ZONE:6,6,sortorder,PRESERVE/scapes
ARCH_ZONE:7,7,sortorder,PRESERVE/scapes
ARCH_ZONE:8,8,sortorder,PRESERVE/scapes
ARCH_ZONE:9,9,sortorder,PRESERVE/scapes
ARCH_ZONE:10,10,sortorder,PRESERVE/scapes
ARCH_ZONE:11,11,sortorder,PRESERVE/scapes
ARCH_ZONE:12,12,sortorder,PRESERVE/scapes
ARCH_ZONE:13,13,sortorder,PRESERVE/scapes
