conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
BFG_TYPE:1,General,,BUILT_FORM_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
BFG_TYPE:2,Height,,BUILT_FORM_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
BFG_TYPE:3,Massing,,BUILT_FORM_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
BFG_TYPE:4,Parcel Plan and Built-To Criteria,,BUILT_FORM_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
BFG_TYPE:5,Streetwall,,BUILT_FORM_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
BFG_TYPE:6,Elevations and Fenestration,,BUILT_FORM_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
BFG_TYPE:7,Materials,,BUILT_FORM_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
BFG_TYPE:8,Entrances,,BUILT_FORM_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
BFG_TYPE:9,Foundations,,BUILT_FORM_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
BFG_TYPE:10,Roofs,,BUILT_FORM_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
BFG_TYPE:11,Architectural Features,,BUILT_FORM_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
BFG_TYPE:12,Mechanical,,BUILT_FORM_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
BFG_TYPE:13,Other,,BUILT_FORM_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
