conceptid,Value,ValueType,Provider
BFG_TYPE:1,1,sortorder,PRESERVEscapes
BFG_TYPE:2,2,sortorder,PRESERVEscapes
BFG_TYPE:3,3,sortorder,PRESERVEscapes
BFG_TYPE:4,4,sortorder,PRESERVEscapes
BFG_TYPE:5,5,sortorder,PRESERVEscapes
BFG_TYPE:6,6,sortorder,PRESERVEscapes
BFG_TYPE:7,7,sortorder,PRESERVEscapes
BFG_TYPE:8,8,sortorder,PRESERVEscapes
BFG_TYPE:9,9,sortorder,PRESERVEscapes
BFG_TYPE:10,10,sortorder,PRESERVEscapes
BFG_TYPE:11,11,sortorder,PRESERVEscapes
BFG_TYPE:12,12,sortorder,PRESERVEscapes
BFG_TYPE:13,13,sortorder,PRESERVEscapes
