conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
CATEX:1,A.3(a),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:2,A.3(b),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:3,A.3(c),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:4,A.3(d),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:5,A.3(e),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:6,A.3(f),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:7,A.3(g),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:8,A.3(h),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:9,A.3(i),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:10,A.3(j),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:11,A.3(k),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:12,A.3(l),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:13,A.3(m),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:14,A.4(a),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:15,A.4(b),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:16,A.4(c),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:17,A.4(d),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:18,A.4(e),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:19,A.4(f),,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:20,other,,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
CATEX:21,n/a,,CATEX_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
