conceptid,Value,ValueType,Provider
CATEX:1,1,sortorder,PRESERVE/scapes
CATEX:2,2,sortorder,PRESERVE/scapes
CATEX:3,3,sortorder,PRESERVE/scapes
CATEX:4,4,sortorder,PRESERVE/scapes
CATEX:5,5,sortorder,PRESERVE/scapes
CATEX:6,6,sortorder,PRESERVE/scapes
CATEX:7,7,sortorder,PRESERVE/scapes
CATEX:8,8,sortorder,PRESERVE/scapes
CATEX:9,9,sortorder,PRESERVE/scapes
CATEX:10,10,sortorder,PRESERVE/scapes
CATEX:11,11,sortorder,PRESERVE/scapes
CATEX:12,12,sortorder,PRESERVE/scapes
CATEX:13,13,sortorder,PRESERVE/scapes
CATEX:14,14,sortorder,PRESERVE/scapes
CATEX:15,15,sortorder,PRESERVE/scapes
CATEX:16,16,sortorder,PRESERVE/scapes
CATEX:17,17,sortorder,PRESERVE/scapes
CATEX:18,18,sortorder,PRESERVE/scapes
CATEX:19,19,sortorder,PRESERVE/scapes
CATEX:20,20,sortorder,PRESERVE/scapes
CATEX:21,21,sortorder,PRESERVE/scapes
