conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
CHAR_AREA:1,Central Grounds,,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
CHAR_AREA:2,Savannah I,,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
CHAR_AREA:3,Scott Statue,,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
CHAR_AREA:4,Chapel Woods,,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
CHAR_AREA:5,Garden Plot,,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
CHAR_AREA:6,Golf Course,,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
CHAR_AREA:7,Hospital Complex,,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
CHAR_AREA:8,Lakes,,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
CHAR_AREA:9,Savannah II,,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
CHAR_AREA:10,1947/1953 Impact,,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
CHAR_AREA:11,Fence/Entry/Perimeter,,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
CHAR_AREA:12,Circulation,,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
CHAR_AREA:13,Recurring Resources,,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
CHAR_AREA:14,Spatial Patterns,,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,Index,preserveSCAPES
