conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider ,Source
DISTURBANCE_TYPE:1,Meteorological,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:2,Storm,,DISTURBANCE_TYPE:1,Index,GCI,
DISTURBANCE_TYPE:3,Fire Induced By Lightning,,DISTURBANCE_TYPE:1,Index,GCI,
DISTURBANCE_TYPE:4,Hydrological,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:5,Flood,,DISTURBANCE_TYPE:4,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:6,Tsunami,,DISTURBANCE_TYPE:4,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:7,Geological,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:8,Volcanic,,DISTURBANCE_TYPE:7,Index,GCI,
DISTURBANCE_TYPE:9,Seismic,,DISTURBANCE_TYPE:7,Index,GCI,
DISTURBANCE_TYPE:10,Mass Movement,,DISTURBANCE_TYPE:7,Index,GCI,
DISTURBANCE_TYPE:11,Erosion,,DISTURBANCE_TYPE:7,Index,GCI,
DISTURBANCE_TYPE:12,Biological,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:13,Pest Infestation,,DISTURBANCE_TYPE:12,Index,GCI,
DISTURBANCE_TYPE:14,Plant Growth,,DISTURBANCE_TYPE:12,Index,GCI,
DISTURBANCE_TYPE:15,Human-Induced,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:16,Fire,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:17,Explosion,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:18,Pollution,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:19,Violence And Conflict,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:20,Looting/Theft,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:21,Vandalism,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:22,Infrastructure Failure,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:23,Agriculture,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:24,Mining,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:25,Construction,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:26,Inappropriate Use,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:27,Lack Of Maintenance,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:28,Climate Change,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,
