entitytype,authoritydoc,authoritydocconceptscheme
ACTIVITY_NAME_TYPE.E55,PRIMARY_OR_ALTERNATIVE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
ACTIVITY_TYPE.E55,ACTIVITY_TYPE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
ACTOR_NAME_TYPE.E55,PRIMARY_OR_ALTERNATIVE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
ACTOR_TYPE.E55,ACTOR_TYPE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
ADDRESS_TYPE.E55,PRIMARY_OR_SECONDARY_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
AFRH_W_HISTORIC_DISTRICT_STATUS.E55,AFRH_W_HISTORIC_DISTRICT_STATUS_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
ARCHAEOLOGICAL_ZONE.E44,ARCHAEOLOGICAL_ZONE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
ARCHES_RESOURCE_CROSS-REFERENCE_RELATIONSHIP_TYPES.E55,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,PRESERVEscapes
AREA_OF_SIGNIFICANCE.E55,AREA_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
BEGINNING_OF_EXISTENCE_QUALIFIER.E55,DATE_QUALIFIER_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
BEGINNING_OF_EXISTENCE_TYPE.E55,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
BUILDING_NUMBER_TYPE.E55,CURRENT_OR_HISTORIC_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
CHARACTER_AREA.E44,CHARACTER_AREA_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
COLLECTION_TYPE.E55,COLLECTION_TYPE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
COMPONENT_CLASSIFICATION.E55,COMPONENT_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
COMPONENT_SIGNIFICANCE.E55,COMPONENT_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
COMPONENT_TYPE.E55,COMPONENT_TYPE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
