conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
HA_DES:1,Historic District (NRHP),,HISTORIC_AREA_DESIGNATION_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
HA_DES:2,Historic District (DC Inventory),,HISTORIC_AREA_DESIGNATION_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
HA_DES:3,National Historic Landmark,,HISTORIC_AREA_DESIGNATION_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
HA_DES:4,National Historic Site,,HISTORIC_AREA_DESIGNATION_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
HA_DES:5,National Monument,,HISTORIC_AREA_DESIGNATION_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
HA_DES:6,Landmark (NRHP),,HISTORIC_AREA_DESIGNATION_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
HA_DES:7,Landmark (DC Inventory),,HISTORIC_AREA_DESIGNATION_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
HA_DES:8,National Recreation Area,,HISTORIC_AREA_DESIGNATION_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
HA_DES:9,National Memorial,,HISTORIC_AREA_DESIGNATION_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
HA_DES:10,Wildlife Habitat Protection Area,,HISTORIC_AREA_DESIGNATION_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
HA_DES:11,Other,,HISTORIC_AREA_DESIGNATION_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
