conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
LSG_TYPE:1,General,,LANDSCAPE_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
LSG_TYPE:2,Topography and Views,,LANDSCAPE_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
LSG_TYPE:3,Open Space,,LANDSCAPE_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
LSG_TYPE:4,Streetscape,,LANDSCAPE_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
LSG_TYPE:5,Treescape,,LANDSCAPE_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
LSG_TYPE:6,Foundation Plantings,,LANDSCAPE_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
LSG_TYPE:7,Surface Parking,,LANDSCAPE_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
LSG_TYPE:8,Commemorative Objects and Sculpture,,LANDSCAPE_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
LSG_TYPE:9,Site Materials,,LANDSCAPE_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
LSG_TYPE:10,Site Furnishings,,LANDSCAPE_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
LSG_TYPE:11,Lighting,,LANDSCAPE_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
LSG_TYPE:12,Other,,LANDSCAPE_GUIDELINE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
