conceptid,Value,ValueType,Provider
LSG_TYPE:1,1,sortorder,PRESERVE/scapes
LSG_TYPE:2,2,sortorder,PRESERVE/scapes
LSG_TYPE:3,3,sortorder,PRESERVE/scapes
LSG_TYPE:4,4,sortorder,PRESERVE/scapes
LSG_TYPE:5,5,sortorder,PRESERVE/scapes
LSG_TYPE:6,6,sortorder,PRESERVE/scapes
LSG_TYPE:7,7,sortorder,PRESERVE/scapes
LSG_TYPE:8,8,sortorder,PRESERVE/scapes
LSG_TYPE:9,9,sortorder,PRESERVE/scapes
LSG_TYPE:10,10,sortorder,PRESERVE/scapes
LSG_TYPE:11,11,sortorder,PRESERVE/scapes
LSG_TYPE:12,12,sortorder,PRESERVE/scapes
