conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
MATERIAL:1,Wood,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:2,Cypress,,MATERIAL:1,Index,CRNHA
MATERIAL:3,Yellow Pine,,MATERIAL:1,Index,CRNHA
MATERIAL:4,Oak,,MATERIAL:1,Index,CRNHA
MATERIAL:5,Plywood,,MATERIAL:1,Index,CRNHA
MATERIAL:6,Engineered Wood,,MATERIAL:1,Index,CRNHA
MATERIAL:7,Resconstituted Wood,,MATERIAL:1,Index,LASHPO-LHRI
MATERIAL:8,Wood Shingle ,,MATERIAL:1,Index,LASHPO-LHRI
MATERIAL:9,Stone,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:10,Marble,,MATERIAL:9,Index,CRNHA
MATERIAL:11,Basalt,,MATERIAL:9,Index,CRNHA
MATERIAL:12,Granite,,MATERIAL:9,Index,CRNHA
MATERIAL:13,Limestone,,MATERIAL:9,Index,CRNHA
MATERIAL:14,Slate,,MATERIAL:9,Index,CRNHA
MATERIAL:15,Concrete,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:16,Concrete block,,MATERIAL:15,Index,CRNHA
MATERIAL:17,"Concrete, poured/precast",,MATERIAL:15,Index,CRNHA
MATERIAL:18,Metal,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:19,Sheet Metal,,MATERIAL:18,Index,LASHPO-LHRI
MATERIAL:20,Steel,,MATERIAL:18,Index,CRNHA
MATERIAL:21,Steel - Galvanized,,MATERIAL:18,Index,CRNHA
MATERIAL:22,Steel - Corrugated,,MATERIAL:18,Index,CRNHA
MATERIAL:23,Steel - Enamelled,,MATERIAL:18,Index,LASHPO-LHRI
MATERIAL:24,Cast Iron,,MATERIAL:18,Index,CRNHA
MATERIAL:25,Wrought Iron,,MATERIAL:18,Index,CRNHA
MATERIAL:26,Aluminum,,MATERIAL:18,Index,CRNHA
MATERIAL:27,Tin,,MATERIAL:18,Index,CRNHA
MATERIAL:28,Tin - Corrugated,,MATERIAL:18,Index,CRNHA
MATERIAL:29,Other (see narrative),,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:30,Brick,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:31,Tile,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:32,Asphalt,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:33,Asbestos,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:34,Stucco,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:35,Boussillage,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:36,Vinyl,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:37,Glass,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:38,Terra Cotta/Ceramic,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,CRNHA
MATERIAL:39,Permastone,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,LASHPO-LHRI
MATERIAL:40,Built up,Tar,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,LASHPO-LHRI
MATERIAL:41,Unknown,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,LASHPO-LHRI
MATERIAL:42,Cladding,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,LASHPO-LHRI
MATERIAL:43,Clapboard/Weatherboard,,MATERIAL:42,Index,LASHPO-LHRI
MATERIAL:44,Drop/Novelty Siding ,,MATERIAL:42,Index,LASHPO-LHRI
MATERIAL:45,Flush Horizontal Board,,MATERIAL:42,Index,LASHPO-LHRI
MATERIAL:46,Vertical Board ,,MATERIAL:42,Index,LASHPO-LHRI
MATERIAL:47,Board And Batten ,,MATERIAL:42,Index,LASHPO-LHRI
