conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
NRHP_CAT:1,Administrative,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:2,Agricultural/Subsistence,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:3,Domestic,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:4,Hospital-Related,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:5,Recreational and Cultural,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:6,Religious,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:7,Security- Maintenance- and Utility-Related,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:8,Landscape-Related,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:9,Transportation-Related,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:10,Wooded Areas,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:11,Natural Hydrologic Features,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:12,Artificial Hydrologic Features,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:13,Vegetated Fields,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:14,Designed Plantings (Building-Defined Spaces),,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:15,Designed Plantings (Stand-Alone Vegetation),,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:16,Archaeology,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:17,Topography,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:18,Spatial Organization,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_CAT:19,Vistas and Viewsheds,,NRHP_RESOURCE_CATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
