conceptid,Value,ValueType,Provider
NRHP_CAT:1,1,sortorder,PRESERVE/scapes
NRHP_CAT:2,2,sortorder,PRESERVE/scapes
NRHP_CAT:3,3,sortorder,PRESERVE/scapes
NRHP_CAT:4,4,sortorder,PRESERVE/scapes
NRHP_CAT:5,5,sortorder,PRESERVE/scapes
NRHP_CAT:6,6,sortorder,PRESERVE/scapes
NRHP_CAT:7,7,sortorder,PRESERVE/scapes
NRHP_CAT:8,8,sortorder,PRESERVE/scapes
NRHP_CAT:9,9,sortorder,PRESERVE/scapes
NRHP_CAT:10,10,sortorder,PRESERVE/scapes
NRHP_CAT:11,11,sortorder,PRESERVE/scapes
NRHP_CAT:12,12,sortorder,PRESERVE/scapes
NRHP_CAT:13,13,sortorder,PRESERVE/scapes
NRHP_CAT:14,14,sortorder,PRESERVE/scapes
NRHP_CAT:15,15,sortorder,PRESERVE/scapes
NRHP_CAT:16,16,sortorder,PRESERVE/scapes
NRHP_CAT:17,17,sortorder,PRESERVE/scapes
NRHP_CAT:18,18,sortorder,PRESERVE/scapes
NRHP_CAT:19,19,sortorder,PRESERVE/scapes
