conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
NRHP_SUBCAT:1,Agricultural Outbuilding,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:2,Archeology,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:3,Auditorium,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:4,Business,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:5,Correctional Facility,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:6,Designed Plantings - Building-Defined Spaces,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:7,Designed Plantings - Stand-Alone Vegetation,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:8,Energy Facility,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:9,Horticultural Facility,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:10,Hospital,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:11,Hydrologic Feature - Artificial,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:12,Hydrologic Feature - Natural,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:13,Medical Office,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:14,Monument/Marker,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:15,Multiple Dwelling,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:16,Music Facility,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:17,Outdoor Recreation,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:18,Pedestrian-Related,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:19,Public Works,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:20,Religious Facility,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:21,Road-Related (Vehicular),,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:22,Secondary Structure,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:23,Single Dwelling,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:24,Spatial Organization,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:25,Sports Facility,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:26,Street Furniture/Object,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:27,Topography,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:28,Vegetated Field,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:29,Views,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:30,Waterworks,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:31,Wooded Area,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_SUBCAT:32,Work of Art,,NRHP_RESOURCE_SUBCATEGORY_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
