conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
RECOMMENDATION_TYPE:1,Archaeological Intervention,,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
RECOMMENDATION_TYPE:2,Archaeological Survey,,RECOMMENDATION_TYPE:1,Index,GCI
RECOMMENDATION_TYPE:3,Excavation,,RECOMMENDATION_TYPE:1,Index,GCI
RECOMMENDATION_TYPE:4,Salvage Recording,,RECOMMENDATION_TYPE:1,Index,GCI
RECOMMENDATION_TYPE:5,Field Survey,,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
RECOMMENDATION_TYPE:6,Architectural Survey,,RECOMMENDATION_TYPE:5,Index,GCI
RECOMMENDATION_TYPE:7,Measured Survey,,RECOMMENDATION_TYPE:5,Index,GCI
RECOMMENDATION_TYPE:8,Photographic Recording,,RECOMMENDATION_TYPE:5,Index,GCI
RECOMMENDATION_TYPE:9,Topographic Survey,,RECOMMENDATION_TYPE:5,Index,GCI
RECOMMENDATION_TYPE:10,Heritage Assessment,,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
RECOMMENDATION_TYPE:11,Aerial Photograph Interpretation,,RECOMMENDATION_TYPE:10,Index,GCI
RECOMMENDATION_TYPE:12,Desk Based Assessment,,RECOMMENDATION_TYPE:10,Index,GCI
RECOMMENDATION_TYPE:13,Environmental Impact Assessment,,RECOMMENDATION_TYPE:10,Index,GCI
RECOMMENDATION_TYPE:14,Historic Landscape Characterisation,,RECOMMENDATION_TYPE:10,Index,GCI
RECOMMENDATION_TYPE:15,In-Depth Condition Assessment,,RECOMMENDATION_TYPE:10,Index,GCI
RECOMMENDATION_TYPE:16,Remote Sensing,,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
RECOMMENDATION_TYPE:17,Management Intervention,,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
RECOMMENDATION_TYPE:18,Conservation Intervention,,RECOMMENDATION_TYPE:17,Index,GCI
RECOMMENDATION_TYPE:19,Reburial,,RECOMMENDATION_TYPE:17,Index,GCI
RECOMMENDATION_TYPE:20,Fencing,,RECOMMENDATION_TYPE:17,Index,GCI
RECOMMENDATION_TYPE:21,Fire Mitigation,,RECOMMENDATION_TYPE:17,Index,GCI
RECOMMENDATION_TYPE:22,Designation,,RECOMMENDATION_TYPE:17,Index,GCI
