conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
STYLE:1,Gothic Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:2,Renaissance Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:3,Classical Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:4,Romanesque Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:5,Second Empire,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:6,Colonial Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:7,Richardsonian Romanesque,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:8,Modern,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:9,Streamline Moderne,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:10,Modern Movement,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:11,Contemporary,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:12,Tudor Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:13,Italianate,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:14,French Colonial,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:15,Spanish Colonial,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:16,Dutch Colonial,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:17,Postmedieval English,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:18,Georgian,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:19,Federal,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:20,Greek Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:21,Italian Villa,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:22,Exotic Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:23,Octagon Mode,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:24,Eclectic,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:25,Gothic,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:26,Queen Anne,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:27,Stick/Eastlake,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:28,Shing Style,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:29,Beaux Arts,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:30,Late Gothic Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:31,Italian Renaissance,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:32,French Renaissance,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:33,Pueblo,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:34,Mission/Spanish Colonial Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:35,Prairie School,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:36,Commercial Style,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:37,Chicago Style,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:38,Skyscraper,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:39,Bungalow/Craftsman,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:40,Moderne,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:41,International Style,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:42,Art Deco,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:43,Mixed,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:44,Other,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:45,No Style,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
STYLE:46,n/a,,STYLE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
