conceptid,Value,ValueType,Provider
STYLE:1,1,sortorder,PRESERVE/scapes
STYLE:2,2,sortorder,PRESERVE/scapes
STYLE:3,3,sortorder,PRESERVE/scapes
STYLE:4,4,sortorder,PRESERVE/scapes
STYLE:5,5,sortorder,PRESERVE/scapes
STYLE:6,6,sortorder,PRESERVE/scapes
STYLE:7,7,sortorder,PRESERVE/scapes
STYLE:8,8,sortorder,PRESERVE/scapes
STYLE:9,9,sortorder,PRESERVE/scapes
STYLE:10,10,sortorder,PRESERVE/scapes
STYLE:11,11,sortorder,PRESERVE/scapes
STYLE:12,12,sortorder,PRESERVE/scapes
STYLE:13,13,sortorder,PRESERVE/scapes
STYLE:14,14,sortorder,PRESERVE/scapes
STYLE:15,15,sortorder,PRESERVE/scapes
STYLE:16,16,sortorder,PRESERVE/scapes
STYLE:17,17,sortorder,PRESERVE/scapes
STYLE:18,18,sortorder,PRESERVE/scapes
STYLE:19,19,sortorder,PRESERVE/scapes
STYLE:20,20,sortorder,PRESERVE/scapes
STYLE:21,21,sortorder,PRESERVE/scapes
STYLE:22,22,sortorder,PRESERVE/scapes
STYLE:23,23,sortorder,PRESERVE/scapes
STYLE:24,24,sortorder,PRESERVE/scapes
STYLE:25,25,sortorder,PRESERVE/scapes
STYLE:26,26,sortorder,PRESERVE/scapes
STYLE:27,27,sortorder,PRESERVE/scapes
STYLE:28,28,sortorder,PRESERVE/scapes
STYLE:29,29,sortorder,PRESERVE/scapes
STYLE:30,30,sortorder,PRESERVE/scapes
STYLE:31,31,sortorder,PRESERVE/scapes
STYLE:32,32,sortorder,PRESERVE/scapes
STYLE:33,33,sortorder,PRESERVE/scapes
STYLE:34,34,sortorder,PRESERVE/scapes
STYLE:35,35,sortorder,PRESERVE/scapes
STYLE:36,36,sortorder,PRESERVE/scapes
STYLE:37,37,sortorder,PRESERVE/scapes
STYLE:38,38,sortorder,PRESERVE/scapes
STYLE:39,39,sortorder,PRESERVE/scapes
STYLE:40,40,sortorder,PRESERVE/scapes
STYLE:41,41,sortorder,PRESERVE/scapes
STYLE:42,42,sortorder,PRESERVE/scapes
STYLE:43,43,sortorder,PRESERVE/scapes
STYLE:44,44,sortorder,PRESERVE/scapes
STYLE:45,45,sortorder,PRESERVE/scapes
STYLE:46,46,sortorder,PRESERVE/scapes
