conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider ,Source
THREAT_TYPE:1,Meteorological,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
THREAT_TYPE:2,Storm,,THREAT_TYPE:1,Index,GCI,
THREAT_TYPE:3,Fire Induced By Lightning,,THREAT_TYPE:1,Index,GCI,
THREAT_TYPE:4,Hydrological,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
THREAT_TYPE:5,Flood,,THREAT_TYPE:4,Index,GCI,AAT/Events (activities)
THREAT_TYPE:6,Tsunami,,THREAT_TYPE:4,Index,GCI,AAT/Events (activities)
THREAT_TYPE:7,Geological,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
THREAT_TYPE:8,Volcanic,,THREAT_TYPE:7,Index,GCI,
THREAT_TYPE:9,Seismic,,THREAT_TYPE:7,Index,GCI,
THREAT_TYPE:10,Mass Movement,,THREAT_TYPE:7,Index,GCI,
THREAT_TYPE:11,Erosion,,THREAT_TYPE:7,Index,GCI,
THREAT_TYPE:12,Biological,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
THREAT_TYPE:13,Pest Infestation,,THREAT_TYPE:12,Index,GCI,
THREAT_TYPE:14,Plant Growth,,THREAT_TYPE:12,Index,GCI,
THREAT_TYPE:15,Human-Induced,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
THREAT_TYPE:16,Fire,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:17,Explosion,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:18,Pollution,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:19,Violence And Conflict,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:20,Looting/Theft,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:21,Vandalism,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:22,Infrastructure Failure,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:23,Agriculture,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:24,Mining,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:25,Construction,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:26,Inappropriate Use,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:27,Lack Of Maintenance,,THREAT_TYPE:15,Index,GCI,
THREAT_TYPE:28,Climate Change,,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,
