conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
UNIT_OF_MEASUREMENT:1,Imperial,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Collector,CRNHA
UNIT_OF_MEASUREMENT:2,inches,,UNIT_OF_MEASUREMENT:1,Index,GCI
UNIT_OF_MEASUREMENT:3,feet,,UNIT_OF_MEASUREMENT:1,Index,GCI
UNIT_OF_MEASUREMENT:4,yards,,UNIT_OF_MEASUREMENT:1,Index,GCI
UNIT_OF_MEASUREMENT:5,miles,,UNIT_OF_MEASUREMENT:1,Index,GCI
UNIT_OF_MEASUREMENT:6,ounces,,UNIT_OF_MEASUREMENT:1,Index,GCI
UNIT_OF_MEASUREMENT:7,pounds,,UNIT_OF_MEASUREMENT:1,Index,GCI
UNIT_OF_MEASUREMENT:8,tons,,UNIT_OF_MEASUREMENT:1,Index,GCI
UNIT_OF_MEASUREMENT:9,sq. feet,,UNIT_OF_MEASUREMENT:1,Index,CRNHA
UNIT_OF_MEASUREMENT:10,acres,,UNIT_OF_MEASUREMENT:1,Index,CRNHA
UNIT_OF_MEASUREMENT:11,sq. miles,,UNIT_OF_MEASUREMENT:1,Index,CRNHA
UNIT_OF_MEASUREMENT:12,Metric,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Collector,CRNHA
UNIT_OF_MEASUREMENT:13,millimeters,millimetres,UNIT_OF_MEASUREMENT:12,Index,GCI
UNIT_OF_MEASUREMENT:14,centimeters,centimetres,UNIT_OF_MEASUREMENT:12,Index,GCI
UNIT_OF_MEASUREMENT:15,meters,metres,UNIT_OF_MEASUREMENT:12,Index,GCI
UNIT_OF_MEASUREMENT:16,kilometers,kilometres,UNIT_OF_MEASUREMENT:12,Index,GCI
UNIT_OF_MEASUREMENT:17,grams,,UNIT_OF_MEASUREMENT:12,Index,GCI
UNIT_OF_MEASUREMENT:18,kilograms,,UNIT_OF_MEASUREMENT:12,Index,GCI
UNIT_OF_MEASUREMENT:19,tonnes,,UNIT_OF_MEASUREMENT:12,Index,CRNHA
UNIT_OF_MEASUREMENT:20,sq. meters,,UNIT_OF_MEASUREMENT:12,Index,CRNHA
UNIT_OF_MEASUREMENT:21,sq. kilometers,,UNIT_OF_MEASUREMENT:12,Index,CRNHA
UNIT_OF_MEASUREMENT:22,hectares,,UNIT_OF_MEASUREMENT:12,Index,CRNHA
UNIT_OF_MEASUREMENT:23,Architectural,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Collector,CRNHA
UNIT_OF_MEASUREMENT:24,stories,,UNIT_OF_MEASUREMENT:23,Index,CRNHA
UNIT_OF_MEASUREMENT:25,structural bays,,UNIT_OF_MEASUREMENT:23,Index,preserveSCAPES
UNIT_OF_MEASUREMENT:26,fenestration bays,,UNIT_OF_MEASUREMENT:23,Index,preserveSCAPES
