Id,Label,mergenode,businesstable
1,ACTIVITY_A.E7,NEW_RESOURCE.E1,
2,SECTION_106_REVIEW.E7,ACTIVITY_A.E7,
3,SECTION_106_EXEMPTION.E55,SECTION_106_REVIEW.E7,
4,FPO_CRM_CONFIRMATION_TIME-SPAN.E52,SECTION_106_REVIEW.E7,
5,FPO_CRM_CONFIRMATION_DATE.E49,SECTION_106_REVIEW.E7,dates
8,SECTION_106_EXEMPTION_JUSTIFICATION.E62,SECTION_106_REVIEW.E7,strings
10,SECTION_106_EXEMPTION_TYPE.E55,SECTION_106_REVIEW.E7,domains
11,SECTION_106_EXEMPTION_TYPE_AUTHORITY_DOCUMENT.E32,SECTION_106_REVIEW.E7,strings
15,DCSHPO_URR.E42,SECTION_106_REVIEW.E7,strings
17,DCSHPO_SUBMISSION.E5,SECTION_106_REVIEW.E7,
18,DCSHPO_SUBMISSION_TYPE.E55,SECTION_106_REVIEW.E7,domains
19,DCSHPO_SUBMISSION_TYPE_AUTHORITY_DOCUMENT.E32,SECTION_106_REVIEW.E7,strings
22,DCSHPO_SUBMISSION_TIME-SPAN.E52,SECTION_106_REVIEW.E7,
23,DCSHPO_SUBMISSION_DATE.E49,SECTION_106_REVIEW.E7,dates
26,DCSHPO_SUBMISSION_METHOD.E55,SECTION_106_REVIEW.E7,domains
27,DCSHPO_SUBMISSION_METHOD_AUTHORITY_DOCUMENT.E32,SECTION_106_REVIEW.E7,strings
30,AFRH_DETERMINATION_OF_EFFECT.E55,SECTION_106_REVIEW.E7,domains
31,AFRH_DETERMINATION_OF_EFFECT_AUTHORITY_DOCUMENT.E32,SECTION_106_REVIEW.E7,strings
34,DCSPHO_SUBMISSION_NOTES.E62,SECTION_106_REVIEW.E7,strings
37,DCSHPO_RESPONSE.E5,SECTION_106_REVIEW.E7,
38,DCSHPO_RESPONSE_TYPE.E55,SECTION_106_REVIEW.E7,domains
39,DCSHPO_RESPONSE_TYPE_AUTHORITY_DOCUMENT.E32,SECTION_106_REVIEW.E7,strings
42,DCSHPO_RESPONSE_EVALUATION.E55,SECTION_106_REVIEW.E7,domains
43,DCSHPO_RESPONSE_TYPE_AUTHORITY_DOCUMENT.E32,SECTION_106_REVIEW.E7,strings
46,DCSPHO_RESPONSE_FILE_NUMBER.E42,SECTION_106_REVIEW.E7,strings
48,DCSHPO_RESPONSE_TIME-SPAN.E52,SECTION_106_REVIEW.E7,
49,DCSHPO_RESPONSE_DATE.E49,SECTION_106_REVIEW.E7,dates
52,DCSPHO_RESPONSE_NOTES.E62,SECTION_106_REVIEW.E7,strings
55,SECTION_106_NOTIFICATION.E5,SECTION_106_REVIEW.E7,
56,SECTION_106_NOTIFICATION_TYPE.E55,SECTION_106_REVIEW.E7,domains
57,SECTION_106_NOTIFICATION_TYPE_AUTHORITY_DOCUMENT.E32,SECTION_106_REVIEW.E7,strings
60,SECTION_106_NOTIFICATION_TIME-SPAN.E52,SECTION_106_REVIEW.E7,
61,SECTION_106_NOTIFICATION_DATE.E49,SECTION_106_REVIEW.E7,dates
64,SECTION_106_NOTIFICATION_METHOD.E55,SECTION_106_REVIEW.E7,domains
65,SECTION_106_NOTIFICATION_METHOD_AUTHORITY_DOCUMENT.E32,SECTION_106_REVIEW.E7,strings
68,SECTION_106_NOTIFICATION_NOTES.E62,SECTION_106_REVIEW.E7,strings
71,SECTION_106_DISPUTE_RESOLUTION_NOTES.E62,ACTIVITY_A.E7,strings
73,SECTION_106_AGREEMENT.E5,SECTION_106_REVIEW.E7,
74,SECTION_106_AGREEMENT_TYPE.E55,SECTION_106_REVIEW.E7,domains
75,SECTION_106_AGREEMENT_TYPE_AUTHORITY_DOCUMENT.E32,SECTION_106_REVIEW.E7,strings
78,SECTION_106_AGREEMENT_EXECUTION_TIME-SPAN.E52,SECTION_106_REVIEW.E7,
79,SECTION_106_AGREEMENT_EXECUTION_DATE.E49,SECTION_106_REVIEW.E7,dates
82,SECTION_106_AGREEMENT_NOTES.E62,SECTION_106_REVIEW.E7,strings
86,NEPA_REVIEW.E7,ACTIVITY_A.E7,
87,NEPA_DOCUMENTATION_TYPE.E55,ACTIVITY_A.E7,
90,CFA_REVIEW.E7,ACTIVITY_A.E7,
91,CFA_REVIEW_IDENTIFICATION.E15,CFA_REVIEW.E7,
92,CFA_PROJECT_NAME.E41,CFA_REVIEW.E7,strings
94,CFA_FILE_NUMBER.E42,CFA_REVIEW.E7,strings
97,CFA_SUBMISSION.E5,CFA_REVIEW.E7,
98,CFA_SUBMISSION_TYPE.E55,CFA_REVIEW.E7,domains
99,SUBMISSION_TYPE_AUTHORITY_DOCUMENT.E32,CFA_REVIEW.E7,strings
102,CFA_SUBMISSION_TIME-SPAN.E52,CFA_REVIEW.E7,
103,CFA_SUBMISSION_DATE.E49,CFA_REVIEW.E7,dates
106,CFA_SUBMISSION_REVIEW_TIME-SPAN.E52,CFA_REVIEW.E7,
107,CFA_SUBMISSION_REVIEW_DATE.E49,CFA_REVIEW.E7,dates
110,CFA_SUBMISSION_REVIEW_TYPE.E55,CFA_REVIEW.E7,domains
111,SUBMISSION_REVIEW_TYPE_AUTHORITY_DOCUMENT.E32,CFA_REVIEW.E7,strings
114,CFA_SUBMISSION_DECISION.E55,CFA_REVIEW.E7,domains
115,SUBMISSION_DECISION_AUTHORITY_DOCUMENT.E32,CFA_REVIEW.E7,strings
118,CFA_SUBMISSION_CONDITIONS.E62,CFA_REVIEW.E7,strings
120,CFA_SUBMISSION_NOTES.E62,CFA_REVIEW.E7,strings
124,NCPC_REVIEW.E7,ACTIVITY_A.E7,
125,NCPC_REVIEW_IDENTIFICATION.E15,NCPC_REVIEW.E7,
126,NCPC_PROJECT_NAME.E41,NCPC_REVIEW.E7,strings
128,NCPC_FILE_NUMBER.E42,NCPC_REVIEW.E7,strings
130,NCPC_MAP_FILE_NUMBER.E42,NCPC_REVIEW.E7,strings
133,NCPC_SUBMISSION.E5,NCPC_REVIEW.E7,
134,NCPC_SUBMISSION_TYPE.E55,NCPC_REVIEW.E7,domains
135,SUBMISSION_TYPE_AUTHORITY_DOCUMENT.E32,NCPC_REVIEW.E7,strings
138,NCPC_SUBMISSION_TIME-SPAN.E52,NCPC_REVIEW.E7,
139,NCPC_SUBMISSION_DATE.E49,NCPC_REVIEW.E7,dates
142,NCPC_REVIEW_TIME-SPAN.E52,NCPC_REVIEW.E7,
143,NCPC_SUBMISSION_REVIEW_DATE.E49,NCPC_REVIEW.E7,dates
146,NCPC_SUBMISSION_REVIEW_TYPE.E55,NCPC_REVIEW.E7,domains
147,SUBMISSION_REVIEW_TYPE_AUTHORITY_DOCUMENT.E32,NCPC_REVIEW.E7,strings
