Source,Target,Type,Id,Label,Weight
1,2,Directed,2,P1,1.0
1,4,Directed,4,P1,1.0
1,6,Directed,6,P14,1.0
6,7,Directed,7,P1,1.0
6,9,Directed,9,P2,1.0
9,10,Directed,10,-P71,1.0
1,14,Directed,14,P69,1.0
14,15,Directed,15,P2,1.0
15,16,Directed,16,-P71,1.0
1,20,Directed,20,P3,1.0
1,22,Directed,22,P1,1.0
22,23,Directed,23,P3,1.0
22,25,Directed,25,P4,1.0
25,26,Directed,26,P78,1.0
22,29,Directed,29,P2,1.0
29,30,Directed,30,-P71,1.0
1,34,Directed,34,P7,1.0
34,35,Directed,35,P3,1.0
34,37,Directed,37,P3,1.0
34,39,Directed,39,P87,1.0
39,40,Directed,40,P2,1.0
40,41,Directed,41,-P71,1.0
1,46,Directed,46,-P34,1.0
46,47,Directed,47,P2,1.0
47,48,Directed,48,-P71,1.0
46,51,Directed,51,P2,1.0
51,52,Directed,52,-P71,1.0
46,55,Directed,55,-P34,1.0
55,56,Directed,56,P2,1.0
56,57,Directed,57,-P71,1.0
46,61,Directed,61,P4,1.0
61,62,Directed,62,P78,1.0
46,65,Directed,65,P11,1.0
46,67,Directed,67,P3,1.0
1,70,Directed,70,P1,1.0
70,71,Directed,71,P1,1.0
71,72,Directed,72,P3,1.0
71,74,Directed,74,P2,1.0
74,75,Directed,75,-P71,1.0
70,79,Directed,79,P1,1.0
79,80,Directed,80,P2,1.0
80,81,Directed,81,-P71,1.0
79,84,Directed,84,P4,1.0
84,85,Directed,85,P78,1.0
79,88,Directed,88,P2,1.0
88,89,Directed,89,-P71,1.0
79,92,Directed,92,P3,1.0
70,95,Directed,95,-P70,1.0
95,96,Directed,96,P2,1.0
96,97,Directed,97,-P71,1.0
95,100,Directed,100,P2,1.0
100,101,Directed,101,-P71,1.0
95,104,Directed,104,P4,1.0
104,105,Directed,105,P78,1.0
95,108,Directed,108,P4,1.0
108,109,Directed,109,P78,1.0
95,112,Directed,112,P2,1.0
112,113,Directed,113,-P71,1.0
95,116,Directed,116,P1,1.0
95,118,Directed,118,P4,1.0
118,119,Directed,119,P78,1.0
95,122,Directed,122,P3,1.0
70,125,Directed,125,P1,1.0
125,126,Directed,126,P3,1.0
125,128,Directed,128,P2,1.0
128,129,Directed,129,-P71,1.0
125,132,Directed,132,-P92,1.0
132,133,Directed,133,P78,1.0
125,136,Directed,136,-P93,1.0
