Id,Label,mergenode,businesstable
1,ACTIVITY_B.E7,NEW_RESOURCE.E1,
2,BUILDING_PERMIT_NUMBER.E42,ACTIVITY_B.E7,strings
4,ACTIVITY_NAME.E41,ACTIVITY_A.E7,strings
6,ACTION_AGENT.E39,ACTIVITY_A.E7,
7,ACTION_AGENT.E82,ACTIVITY_A.E7,strings
9,ACTION_AGENT_TYPE.E55,ACTIVITY_A.E7,domains
10,ACTION_AGENT_TYPE_AUTHORITY_DOCUMENT.E32,ACTIVITY_A.E7,strings
14,ACTIVITY_REVIEW.E29,ACTIVITY_A.E7,
15,ACTIVITY_REVIEW_TYPE.E55,ACTIVITY_A.E7,domains
16,ACTIVITY_REVIEW_AUTHORITY_DOCUMENT.E32,ACTIVITY_A.E7,strings
20,ACTIVITY_REVIEW_NOTE.E62,ACTIVITY_A.E7,strings
22,ACTIVITY_MILESTONE_ACHIEVEMENT.E5,ACTIVITY_A.E7,
23,ACTIVITY_MILESTONE_NOTES.E62,ACTIVITY_A.E7,strings
25,ACTIVITY_MILESTONE_TIME-SPAN.E52,ACTIVITY_A.E7,
26,ACTIVITY_MILESTONE_DATE.E49,ACTIVITY_A.E7,dates
29,ACTIVITY_B_MILESTONE.E55,ACTIVITY_A.E7,domains
30,ACTIVITY_B_MILESTONE_AUTHORITY_DOCUMENT.E32,ACTIVITY_A.E7,strings
34,PLACE.E53,ACTIVITY_A.E7,
35,PROJECT_AREA_NOTE.E62,PLACE.E53,strings
37,AREA_OF_POTENTIAL_EFFECT_NOTE.E62,PLACE.E53,strings
39,SPATIAL_COORDINATES_GEOMETRY.E47,PLACE.E53,geometries
40,ACTIVITY_GEOMETRY_TYPE.E55,PLACE.E53,domains
41,ACTIVITY_GEOMETRY_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
46,ACTIVITY_CONSULTATION.E5,ACTIVITY_A.E7,
47,CONSULTATION_METHOD.E55,ACTIVITY_CONSULTATION.E5,domains
48,CONSULTATION_METHOD_AUTHORITY_DOCUMENT.E32,ACTIVITY_CONSULTATION.E5,strings
51,CONSULTATION_TYPE.E55,ACTIVITY_CONSULTATION.E5,domains
52,CONSULTATION_TYPE_AUTHORITY_DOCUMENT.E32,ACTIVITY_CONSULTATION.E5,strings
55,CONSULTATION_DOCUMENTATION.E31,ACTIVITY_CONSULTATION.E5,
56,CONSULTATION_DOCUMENTATION_TYPE.E55,ACTIVITY_CONSULTATION.E5,domains
57,CONSULTATION_DOCUMENTATION_TYPE_AUTHORITY_DOCUMENT.E32,ACTIVITY_CONSULTATION.E5,strings
61,CONSULTATION_TIME-SPAN.E52,ACTIVITY_CONSULTATION.E5,
62,CONSULTATION_DATE.E49,ACTIVITY_CONSULTATION.E5,dates
65,CONSULTATION_ATTENDEE.E39,ACTIVITY_CONSULTATION.E5,strings
67,CONSULTATION_NOTE.E62,ACTIVITY_CONSULTATION.E5,strings
70,ARPA_REVIEW.E7,ACTIVITY_A.E7,
71,AFRH_ARPA_ASSESSMENT.E5,ACTIVITY_A.E7,
72,AFRH_ARPA_DETERMINATION_NOTE.E62,ARPA_REVIEW.E7,strings
74,AFRH_ARPA_DETERMINATION.E55,ARPA_REVIEW.E7,domains
75,AFRH_ARPA_DETERMINATION_AUTHORITY_DOCUMENT.E32,SECTION_106_REVIEW.E7,strings
79,DCSHPO_NOTIFICATION.E5,SECTION_106_REVIEW.E7,
80,DCSHPO_NOTIFICATION_METHOD.E55,SECTION_106_REVIEW.E7,domains
81,DCSHPO_NOTIFICATION_METHOD_AUTHORITY_DOCUMENT.E32,SECTION_106_REVIEW.E7,strings
84,DCSHPO_NOTIFICATION_TIME-SPAN.E52,SECTION_106_REVIEW.E7,
85,DCSHPO_NOTIFICATION_DATE.E49,SECTION_106_REVIEW.E7,dates
88,DCSHPO_NOTIFICATION_RESPONSE.E55,SECTION_106_REVIEW.E7,domains
89,DCSHPO_NOTIFICATION_RESPONSE_AUTHORITY_DOCUMENT.E32,SECTION_106_REVIEW.E7,strings
92,DCSHPO_NOTIFICATION_NOTES.E62,SECTION_106_REVIEW.E7,strings
95,ARPA_DOCUMENTATION.E31,SECTION_106_REVIEW.E7,
96,ARPA_DOCUMENTATION_TYPE.E55,ARPA_REVIEW.E7,domains
97,ARPA_DOCUMENTATION_TYPE_AUTHORITY_DOCUMENT.E32,ARPA_REVIEW.E7,strings
100,ARPA_DOCUMENTATION_STATUS.E55,ARPA_REVIEW.E7,domains
101,ARPA_DOCUMENTATION_STATUS_AUTHORITY_DOCUMENT.E32,ARPA_REVIEW.E7,strings
