Source,Target,Type,Id,Label,Weight
1,2,Directed,2,BM.PX.is_related_to,1.0
2,3,Directed,3,P1,1.0
3,4,Directed,4,P2,1.0
4,5,Directed,5,-P71,1.0
1,10,Directed,10,P53,1.0
10,11,Directed,11,P87,1.0
11,12,Directed,12,P2,1.0
12,13,Directed,13,-P71,1.0
10,17,Directed,17,P87,1.0
17,18,Directed,18,P3,1.0
1,22,Directed,22,-P92,1.0
22,23,Directed,23,P4,1.0
23,24,Directed,24,P78,1.0
22,27,Directed,27,P2,1.0
27,28,Directed,28,-P71,1.0
1,32,Directed,32,P3,1.0
32,33,Directed,33,P2,1.0
33,34,Directed,34,-P71,1.0
1,38,Directed,38,-P93,1.0
38,39,Directed,39,P4,1.0
39,40,Directed,40,P78,1.0
38,43,Directed,43,P2,1.0
43,44,Directed,44,-P71,1.0
1,48,Directed,48,P10,1.0
48,49,Directed,49,-P41,1.0
49,50,Directed,50,-P41,1.0
50,51,Directed,51,-P71,1.0
49,54,Directed,54,P4,1.0
54,55,Directed,55,P78,1.0
54,57,Directed,57,P78,1.0
49,60,Directed,60,P42,1.0
60,61,Directed,61,-P71,1.0
1,66,Directed,66,P2,1.0
66,67,Directed,67,-P71,1.0
1,70,Directed,70,P1,1.0
70,71,Directed,71,P131,1.0
71,72,Directed,72,P2,1.0
72,73,Directed,73,-P71,1.0
70,77,Directed,77,P131,1.0
