Id,Label,mergenode,businesstable
4,EXTERNAL_RESOURCE.E1,ACTOR.E39,
37,EXTERNAL_XREF.E42,ACTOR.E39,strings
6,PLACE.E53,ACTOR.E39,
13,PLACE_ADDRESS.E45,PLACE.E53,strings
79,PLACE_SITE_LOCATION.E53,PLACE.E53,
8,BEGINNING_OF_EXISTENCE.E63,ACTOR.E39,
15,BEGINNING_OF_EXISTENCE_TIME-SPAN.E52,ACTOR.E39,
77,BEGINNING_OF_EXISTENCE_TYPE.E55,ACTOR.E39,domains
10,ACTOR.E39,ACTOR.E39,
18,DESCRIPTION.E62,ACTOR.E39,strings
26,END_OF_EXISTENCE.E64,ACTOR.E39,
57,ARCHES_EVENT_PHASE.E4,ACTOR.E39,
71,KEYWORD.E55,ACTOR.E39,domains
81,APPELLATION.E41,ACTOR.E39,
73,ADDRESS_TYPE.E55,PLACE.E53,domains
38,START_DATE_OF_EXISTENCE.E49,ACTOR.E39,dates
66,DESCRIPTION_TYPE.E55,ACTOR.E39,domains
20,ACTOR_APPELLATION.E82,APPELATION.E41,strings
31,ACTOR_NAME_TYPE.E55,APPELATION.E41,domains
29,END_OF_EXISTENCE_TIME-SPAN.E52,ACTOR.E39,
75,END_OF_EXISTENCE_TYPE.E55,ACTOR.E39,domains
27,EXTERNAL_XREF_TYPE.E55,ACTOR.E39,domains
41,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.E32,ACTOR.E39,strings
21,END_DATE_OF_EXISTENCE.E49,ACTOR.E39,dates
2,PRIMARY_OR_ALTERNATIVE_AUTHORITY_DOCUMENT.E32,APPELATION.E41,strings
58,PHASE_TYPE_ASSIGNMENT.E17,ARCHES_EVENT_PHASE.E4,
59,CULTURAL_PERIOD.E55,ARCHES_EVENT_PHASE.E4,domains
61,TIME-SPAN_PHASE.E52,ARCHES_EVENT_PHASE.E4,
64,ACTOR_TYPE.E55,ARCHES_EVENT_PHASE.E4,domains
60,PERIOD_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.E32,ARCHES_EVENT_PHASE.E4,strings
62,FROM_DATE.E49,ARCHES_EVENT_PHASE.E4,dates
63,TO_DATE.E49,ARCHES_EVENT_PHASE.E4,dates
65,ACTOR_TYPE_AUTHORITY_DOCUMENT.E32,ARCHES_EVENT_PHASE.E4,strings
67,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.E32,ACTOR.E39,strings
72,KEYWORD_AUTHORITY_DOCUMENT.E32,ACTOR.E39,strings
74,PRIMARY_OR_SECONDARY_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
76,END_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,ACTOR.E39,strings
78,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,ACTOR.E39,strings
80,DESCRIPTION_OF_LOCATION.E62,PLACE.E53,strings
3,EPITHET.E82,APPELATION.E41,strings
