Source,Target,Type,Id,Label,Weight
1,2,Directed,2,-P89,1.0
2,3,Directed,3,P87,1.0
3,4,Directed,4,P1,1.0
1,8,Directed,8,P3,1.0
1,10,Directed,10,P1,1.0
1,12,Directed,12,P89,1.0
12,13,Directed,13,P87,1.0
12,15,Directed,15,P3,1.0
12,17,Directed,17,P87,1.0
17,18,Directed,18,P2,1.0
18,19,Directed,19,-P71,1.0
12,23,Directed,23,P3,1.0
12,25,Directed,25,P3,1.0
12,27,Directed,27,P3,1.0
12,29,Directed,29,P3,1.0
1,32,Directed,32,-P53,1.0
32,33,Directed,33,P1,1.0
32,35,Directed,35,P1,1.0
32,37,Directed,37,P3,1.0
32,39,Directed,39,-P93,1.0
39,40,Directed,40,P4,1.0
40,41,Directed,41,P78,1.0
32,45,Directed,45,-P92,1.0
45,46,Directed,46,P4,1.0
46,47,Directed,47,P78,1.0
1,52,Directed,52,-P8,1.0
52,53,Directed,53,P9,1.0
53,54,Directed,54,P9,1.0
54,55,Directed,55,P3,1.0
54,57,Directed,57,P78,1.0
53,60,Directed,60,P9,1.0
60,61,Directed,61,P3,1.0
60,63,Directed,63,P78,1.0
53,66,Directed,66,P9,1.0
66,67,Directed,67,P3,1.0
66,69,Directed,69,P78,1.0
53,72,Directed,72,P46,1.0
72,73,Directed,73,P1,1.0
72,75,Directed,75,P2,1.0
75,76,Directed,76,-P71,1.0
72,79,Directed,79,P2,1.0
79,80,Directed,80,-P71,1.0
72,83,Directed,83,P3,1.0
72,85,Directed,85,P3,1.0
72,87,Directed,87,P2,1.0
87,88,Directed,88,-P71,1.0
72,91,Directed,91,P3,1.0
72,93,Directed,93,P3,1.0
53,96,Directed,96,P4,1.0
96,97,Directed,97,P78,1.0
53,100,Directed,100,P2,1.0
100,101,Directed,101,-P71,1.0
53,104,Directed,104,P2,1.0
104,105,Directed,105,-P71,1.0
53,108,Directed,108,P1,1.0
53,110,Directed,110,P3,1.0
53,112,Directed,112,-P138,1.0
112,113,Directed,113,P3,1.0
112,115,Directed,115,P3,1.0
53,118,Directed,118,P7,1.0
118,119,Directed,119,P87,1.0
53,122,Directed,122,P3,1.0
