Source,Target,Type,Id,Label,Weight
1,2,Directed,2,P3,1.0
1,4,Directed,4,P3,1.0
1,6,Directed,6,P2,1.0
6,7,Directed,7,-P71,1.0
1,10,Directed,10,P1,1.0
1,12,Directed,12,P2,1.0
12,13,Directed,13,-P71,1.0
1,16,Directed,16,P7,1.0
16,17,Directed,17,-P71,1.0
1,20,Directed,20,P4,1.0
20,21,Directed,21,P78,1.0
1,24,Directed,24,P3,1.0
1,26,Directed,26,-P138,1.0
26,27,Directed,27,P3,1.0
26,29,Directed,29,P3,1.0
1,32,Directed,32,P3,1.0
1,34,Directed,34,P46,1.0
34,35,Directed,35,P87,1.0
35,36,Directed,36,P2,1.0
36,37,Directed,37,-P71,1.0
35,40,Directed,40,P2,1.0
40,41,Directed,41,-P71,1.0
35,44,Directed,44,P3,1.0
35,46,Directed,46,P3,1.0
35,48,Directed,48,P2,1.0
48,49,Directed,49,-P71,1.0
35,52,Directed,52,P3,1.0
35,54,Directed,54,P3,1.0
35,56,Directed,56,P3,1.0
35,58,Directed,58,P1,1.0
1,62,Directed,62,P9,1.0
62,63,Directed,63,P3,1.0
62,65,Directed,65,P78,1.0
1,68,Directed,68,P9,1.0
68,69,Directed,69,P3,1.0
68,71,Directed,71,P78,1.0
1,74,Directed,74,P9,1.0
74,75,Directed,75,P3,1.0
74,77,Directed,77,P78,1.0
