Id,Label,mergenode,businesstable
1,FIELD_INVESTIGATION.E7,NEW_RESOURCE.E1,
2,THUMBNAIL.E62,INVESTIGATION_EVENT.E5,files
4,FILE_PATH.E62,INVESTIGATION_EVENT.E5,files
6,INVESTIGATION_METHOD.E55,INVESTIGATION_EVENT.E5,domains
7,TEST_PIT_METHOD_AUTHORITY_DOCUMENT.E32,INVESTIGATION_EVENT.E5,strings
10,DCSHPO_REPORT_NUMBER.E42,INVESTIGATION_EVENT.E5,strings
12,INVESTIGATION_ASSESSMENT.E55,INVESTIGATION_EVENT.E5,domains
13,INVESTIGATION_ASSESSMENT_AUTHORITY_DOCUMENT.E32,INVESTIGATION_EVENT.E5,strings
16,ARCHAEOLOGICAL_ZONE.E55,NEW_RESOURCE.E1,domains
17,ARCHAEOLOGICAL_ZONE_AUTHORITY_DOCUMENT.E32,NEW_RESOURCE.E1,strings
20,INVESTIGATION_TIME-SPAN.E52,INVESTIGATION_EVENT.E5,
21,INVESTIGATION_DATE.E49,INVESTIGATION_EVENT.E5,dates
24,INVESTIGATION_RECOMMENDATIONS.E62,INVESTIGATION_EVENT.E5,strings
26,INVESTIGATION_IMAGE.E73,INVESTIGATION_EVENT.E5,
27,INVESTIGATION_IMAGE_FILE_PATH.E62,INVESTIGATION_EVENT.E5,files
29,INVESTIGATION_IMAGE_THUMBNAIL.E62,INVESTIGATION_EVENT.E5,files
32,INVESTIGATION_DESCRIPTION.E62,INVESTIGATION_EVENT.E5,strings
34,SHOVEL_TEST.E7,NEW_RESOURCE.E1,
35,TEST_PIT_LOCATIONS_GEOMETRY.E47,FIELD_INVESTIGATION.E7,geometries
36,TEST_PIT_METHOD.E55,FIELD_INVESTIGATION.E7,domains
37,TEST_PIT_METHOD_AUTHORITY_DOCUMENT.E32,FIELD_INVESTIGATION.E7,strings
40,TEST_PIT_SENSITIVITY.E55,FIELD_INVESTIGATION.E7,domains
41,TEST_PIT_SENSITIVITY_AUTHORITY_DOCUMENT.E32,FIELD_INVESTIGATION.E7,strings
44,TEST_PIT_NOTES.E62,INVESTIGATION_EVENT.E5,strings
46,TEST_PIT_ARTIFACTS.E62,INVESTIGATION_EVENT.E5,strings
48,TEST_PIT_RESULTS.E55,FIELD_INVESTIGATION.E7,domains
49,TEST_PIT_RESULTS_AUTHORITY_DOCUMENT.E32,FIELD_INVESTIGATION.E7,strings
52,TEST_PIT_PREDICTED_FILL.E62,FIELD_INVESTIGATION.E7,strings
54,TEST_PIT_ACTUAL_FILL.E62,FIELD_INVESTIGATION.E7,strings
56,TEST_PIT_ARTIFACTS.E62,INVESTIGATION_EVENT.E5,strings
58,SHOVEL_TEST_ID.E42,FIELD_INVESTIGATION.E7,strings
62,HISTORIC_SITE_POTENTIAL_ASSESSMENT.E14,FIELD_INVESTIGATION.E7,
63,HISTORIC_SITE_POTENTIAL_NOTE.E62,FIELD_INVESTIGATION.E7,strings
65,HISTORIC_SITE_POTENTIAL_ASSESSMENT_DATE.E49,FIELD_INVESTIGATION.E7,dates
68,NATIVE_AMERICAN_SITE_POTENTIAL_ASSESSMENT.E14,FIELD_INVESTIGATION.E7,
69,NATIVE_AMERICAN_SITE_POTENTIAL_NOTE.E62,FIELD_INVESTIGATION.E7,strings
71,NATIVE_AMERICAN_SITE_POTENTIAL_ASSESSMENT_DATE.E49,FIELD_INVESTIGATION.E7,dates
74,PREHISTORIC_SITE_POTENTIAL_ASSESSMENT.E14,FIELD_INVESTIGATION.E7,
75,PREHISTORIC_SITE_POTENTIAL_NOTE.E62,FIELD_INVESTIGATION.E7,strings
77,PREHISTORIC_SITE_POTENTIAL_ASSESSMENT_DATE.E49,FIELD_INVESTIGATION.E7,dates
