Source,Target,Type,Id,Label,Weight
1,2,Directed,2,P1,1.0
1,4,Directed,4,P2,1.0
4,5,Directed,5,-P71,1.0
1,8,Directed,8,P2,1.0
8,9,Directed,9,-P71,1.0
1,12,Directed,12,P4,1.0
12,13,Directed,13,P78,1.0
13,14,Directed,14,P2,1.0
14,15,Directed,15,-P71,1.0
1,20,Directed,20,P7,1.0
20,21,Directed,21,P3,1.0
20,23,Directed,23,P87,1.0
1,26,Directed,26,P3,1.0
26,27,Directed,27,P2,1.0
27,28,Directed,28,-P71,1.0
1,32,Directed,32,P3,1.0
32,33,Directed,33,P2,1.0
33,34,Directed,34,-P71,1.0
1,38,Directed,38,P2,1.0
38,39,Directed,39,-P71,1.0
1,42,Directed,42,-P7,1.0
42,43,Directed,43,-P92,1.0
43,44,Directed,44,P4,1.0
44,45,Directed,45,P78,1.0
42,49,Directed,49,-P93,1.0
49,50,Directed,50,P4,1.0
50,51,Directed,51,P78,1.0
1,56,Directed,56,P1,1.0
56,57,Directed,57,P1,1.0
57,58,Directed,58,P2,1.0
57,60,Directed,60,P2,1.0
57,62,Directed,62,P2,1.0
57,64,Directed,64,P2,1.0
56,67,Directed,67,P2,1.0
67,68,Directed,68,-P71,1.0
1,72,Directed,72,P2,1.0
72,73,Directed,73,-P71,1.0
