Id,Label,mergenode,businesstable
1,HISTORIC_AREA.E53,MASTER_PLAN_ZONE.E53,
2,HISTORIC_AREA_NAME.E48,HISTORIC_AREA.E53,strings
4,HISTORIC_AREA_DESIGNATION.E55,HISTORIC_AREA.E53,domains
5,HISTORIC_AREA_DESIGNATION_AUTHORITY_DOCUMENT.E32,HISTORIC_AREA.E53,strings
8,HISTORIC_AREA_TYPE.E55,HISTORIC_AREA.E53,domains
9,HISTORIC_AREA_TYPE_AUTHORITY_DOCUMENT.E32,HISTORIC_AREA.E53,strings
12,ADMINISTRATIVE_DATE_TIME-SPAN.E52,HISTORIC_AREA.E53,
13,ADMINISTRATIVE_DATE.E49,HISTORIC_AREA.E53,dates
14,ADMINISTRATIVE_DATE_TYPE.E55,HISTORIC_AREA.E53,domains
15,ADMINISTRATIVE_DATE_TYPE_AUTHORITY_DOCUMENT.E32,HISTORIC_AREA.E53,strings
20,PLACE.E53,HISTORIC_AREA.E53,
21,HISTORIC_AREA_LOCATION_NOTE.E62,PLACE.E53,strings
23,SPATIAL_COORDINATES_GEOMETRY.E47,PLACE.E53,geometries
26,DESCRIPTION.E62,HISTORIC_AREA.E53,strings
27,HISTORIC_AREA_DESCRIPTION_TYPE.E55,HISTORIC_AREA.E53,domains
28,HISTORIC_AREA_DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.E32,HISTORIC_AREA.E53,strings
32,NUMBER_OF_RESOURCES.E62,HISTORIC_AREA.E53,strings
33,NUMBER_OF_RESOURCES_TYPE.E55,HISTORIC_AREA.E53,domains
34,NUMBER_OF_RESOURCES_AUTHORITY_DOCUMENT.E32,HISTORIC_AREA.E53,strings
38,HISTORIC_AREA_STATUS.E55,HISTORIC_AREA.E53,domains
39,HISTORIC_AREA_STATUS_AUTHORITY_DOCUMENT.E32,HISTORIC_AREA.E53,strings
42,PERIOD_OF_SIGNIFICANCE.E4,HISTORIC_AREA.E53,
43,PERIOD_OF_SIGNIFICANCE_BEGINNING.E63,PERIOD_OF_SIGNIFICANCE.E4,
44,PERIOD_OF_SIGNIFICANCE_BEGINNING_TIME-SPAN.E52,PERIOD_OF_SIGNIFICANCE.E4,
45,PERIOD_OF_SIGNIFICANCE_BEGINNING_DATE.E49,PERIOD_OF_SIGNIFICANCE.E4,dates
49,PERIOD_OF_SIGNIFICANCE_END.E64,PERIOD_OF_SIGNIFICANCE.E4,
50,PERIOD_OF_SIGNIFICANCE_END_TIME-SPAN.E52,PERIOD_OF_SIGNIFICANCE.E4,
51,PERIOD_OF_SIGNIFICANCE_END_DATE.E49,PERIOD_OF_SIGNIFICANCE.E4,dates
56,NATIONAL_REGISTER_ASSESSMENT.E3,HISTORIC_AREA.E53,
57,NRHP_CRITERIA.E17,NATIONAL_REGISTER_ASSESSMENT.E3,
58,CRITERION_A_RELEVANCE.E62,NATIONAL_REGISTER_ASSESSMENT.E3,strings
60,CRITERION_B_RELEVANCE.E62,NATIONAL_REGISTER_ASSESSMENT.E3,strings
62,CRITERION_C_RELEVANCE.E62,NATIONAL_REGISTER_ASSESSMENT.E3,strings
64,CRITERION_D_RELEVANCE.E62,NATIONAL_REGISTER_ASSESSMENT.E3,strings
67,CRITERION_CONSIDERATIONS.E55,NATIONAL_REGISTER_ASSESSMENT.E3,domains
68,CRITERION_CONSIDERATIONS_AUTHORITY_DOCUMENT.E32,NATIONAL_REGISTER_ASSESSMENT.E3,strings
72,AREA_OF_SIGNIFICANCE.E55,HISTORIC_AREA.E53,domains
73,AREA_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.E32,HISTORIC_AREA.E53,strings
