Id,Label,mergenode,businesstable
2,EXTERNAL_XREF_TYPE.E55,INFORMATION_RESOURCE.E73,domains
15,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.E32,INFORMATION_RESOURCE.E73,strings
7,TITLE_TYPE.E55,INFORMATION_RESOURCE.E73,domains
18,PRIMARY_OR_ALTERNATIVE_AUTHORITY_DOCUMENT.E32,INFORMATION_RESOURCE.E73,strings
8,TITLE.E41,INFORMATION_RESOURCE.E73,strings
9,EXTERNAL_XREF.E42,INFORMATION_RESOURCE.E73,strings
11,INFORMATION_RESOURCE.E73,INFORMATION_RESOURCE.E73,
1,FILE_PATH.E62,INFORMATION_RESOURCE.E73,files
16,KEYWORD.E55,INFORMATION_RESOURCE.E73,domains
17,EXTERNAL_RESOURCE.E1,INFORMATION_RESOURCE.E73,
23,DESCRIPTION.E62,INFORMATION_RESOURCE.E73,strings
34,PLACE.E53,INFORMATION_RESOURCE.E73,
37,PUBLICATION_EVENT.E12,INFORMATION_RESOURCE.E73,
46,RIGHT_DESCRIPTION.E30,INFORMATION_RESOURCE.E73,strings
51,LANGUAGE.E55,INFORMATION_RESOURCE.E73,domains
792,THUMBNAIL.E62,INFORMATION_RESOURCE.E73,files
801,TEMPORAL_COVERAGE.E4,INFORMATION_RESOURCE.E73,
804,RESOURCE_CREATION_EVENT.E65,INFORMATION_RESOURCE.E73,
12,INFORMATION_RESOURCE_TYPE_ASSIGNMENT.E17,INFORMATION_RESOURCE.E73,
22,INFORMATION_RESOURCE_TYPE.E55,INFORMATION_RESOURCE.E73,domains
19,KEYWORD_AUTHORITY_DOCUMENT.E32,INFORMATION_RESOURCE.E73,strings
5,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.E32,INFORMATION_RESOURCE.E73,strings
799,DESCRIPTION_TYPE.E55,INFORMATION_RESOURCE.E73,domains
29,CREATOR_APPELLATION.E82,RESOURCE_CREATION_EVENT.E65,strings
30,GEOMETRY_QUALIFIER.E55,PLACE.E53,domains
35,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
31,SPATIAL_COORDINATES_GEOMETRY.E47,PLACE.E53,geometries
32,SPATIAL_COVERAGE.E53,PLACE.E53,
33,DESCRIPTION_OF_LOCATION.E62,PLACE.E53,strings
38,TIME-SPAN_PUBLICATION_EVENT.E52,INFORMATION_RESOURCE.E73,
44,PUBLISHER.E39,INFORMATION_RESOURCE.E73,
39,DATE_OF_PUBLICATION.E50,INFORMATION_RESOURCE.E73,dates
45,PUBLISHER_APPELLATION.E82,INFORMATION_RESOURCE.E73,strings
47,RIGHT_TYPE.E55,INFORMATION_RESOURCE.E73,domains
48,RIGHT_TYPE_AUTHORITY_DOCUMENT.E32,INFORMATION_RESOURCE.E73,strings
52,LANGUAGE_AUTHORITY_DOCUMENT.E32,INFORMATION_RESOURCE.E73,strings
800,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.E32,INFORMATION_RESOURCE.E73,strings
802,TEMPORAL_COVERAGE_TIME-SPAN.E52,INFORMATION_RESOURCE.E73,strings
805,TIME-SPAN_RESOURCE_CREATION_EVENT.E52,RESOURCE_CREATION_EVENT.E65,
806,DATE_OF_CREATION.E50,RESOURCE_CREATION_EVENT.E65,dates
60,COLLECTION_TYPE.E55,INFORMATION_RESOURCE.E73,domains
61,COLLECTION_TYPE_AUTHORITY_DOCUMENT.E32,INFORMATION_RESOURCE.E73,strings
65,COLLECTION.E78,INFORMATION_RESOURCE.E73,
66,CREATION_FORMAT.E55,RESOURCE_CREATION_EVENT.E65,domains
67,CREATION_FORMAT_AUTHORITY_DOCUMENT.E32,RESOURCE_CREATION_EVENT.E65,strings
68,CREATOR.E39,RESOURCE_CREATION_EVENT.E65,strings
69,CREATOR_TYPE.E55,RESOURCE_CREATION_EVENT.E65,domains
70,CREATOR_TYPE_AUTHORITY_DOCUMENT.E32,RESOURCE_CREATION_EVENT.E65,strings
73,CREATOR_NOTE.E62,RESOURCE_CREATION_EVENT.E65,strings
78,FILE_PATH_EXTENSION.E62,INFORMATION_RESOURCE.E73,strings
