Source,Target,Type,Id,Label,Weight
1,2,Directed,2,P42,1.0
2,3,Directed,3,P2,1.0
3,4,Directed,4,-P71,1.0
2,7,Directed,7,P2,1.0
7,8,Directed,8,-P71,1.0
2,11,Directed,11,P78,1.0
1,14,Directed,14,P42,1.0
14,15,Directed,15,P2,1.0
15,16,Directed,16,P78,1.0
15,18,Directed,18,P2,1.0
18,19,Directed,19,-P71,1.0
1,24,Directed,24,P2,1.0
24,25,Directed,25,-P71,1.0
1,28,Directed,28,P42,1.0
28,29,Directed,29,-P71,1.0
28,31,Directed,31,P78,1.0
1,34,Directed,34,P2,1.0
34,35,Directed,35,-P71,1.0
1,38,Directed,38,P2,1.0
38,39,Directed,39,-P71,1.0
1,42,Directed,42,P90,1.0
42,43,Directed,43,P5,1.0
42,45,Directed,45,P5,1.0
42,47,Directed,47,P5,1.0
42,49,Directed,49,P5,1.0
42,51,Directed,51,P5,1.0
42,53,Directed,53,P5,1.0
1,56,Directed,56,P42,1.0
56,57,Directed,57,P50,1.0
57,58,Directed,58,-P71,1.0
56,61,Directed,61,P1,1.0
61,62,Directed,62,P2,1.0
62,63,Directed,63,-P71,1.0
61,66,Directed,66,P3,1.0
56,69,Directed,69,P44,1.0
69,70,Directed,70,-P71,1.0
56,73,Directed,73,P2,1.0
73,74,Directed,74,-P71,1.0
56,77,Directed,77,P2,1.0
77,78,Directed,78,-P71,1.0
56,81,Directed,81,P78,1.0
1,84,Directed,84,P1,1.0
84,85,Directed,85,P2,1.0
85,86,Directed,86,-P71,1.0
1,90,Directed,90,P1,1.0
90,91,Directed,91,P2,1.0
91,92,Directed,92,-P71,1.0
1,96,Directed,96,P42,1.0
96,97,Directed,97,-P71,1.0
1,100,Directed,100,P42,1.0
100,101,Directed,101,-P71,1.0
1,104,Directed,104,P42,1.0
104,105,Directed,105,-P71,1.0
1,108,Directed,108,P3,1.0
108,109,Directed,109,P2,1.0
109,110,Directed,110,-P71,1.0
1,114,Directed,114,P2,1.0
114,115,Directed,115,-P71,1.0
1,118,Directed,118,P42,1.0
118,119,Directed,119,-P71,1.0
1,122,Directed,122,P43,1.0
122,123,Directed,123,P91,1.0
123,124,Directed,124,-P71,1.0
123,126,Directed,126,P90,1.0
122,129,Directed,129,-P71,1.0
1,132,Directed,132,-P108,1.0
132,133,Directed,133,-P41,1.0
133,134,Directed,134,P42,1.0
133,136,Directed,136,P42,1.0
136,137,Directed,137,-P71,1.0
133,140,Directed,140,P4,1.0
140,141,Directed,141,P78,1.0
140,143,Directed,143,P78,1.0
132,147,Directed,147,P108,1.0
147,148,Directed,148,P2,1.0
148,149,Directed,149,-P71,1.0
147,152,Directed,152,P45,1.0
152,153,Directed,153,-P71,1.0
147,156,Directed,156,-P108,1.0
156,157,Directed,157,P33,1.0
157,158,Directed,158,P2,1.0
158,159,Directed,159,-P71,1.0
147,164,Directed,164,P2,1.0
164,165,Directed,165,-P71,1.0
147,168,Directed,168,P2,1.0
168,169,Directed,169,-P71,1.0
147,172,Directed,172,P3,1.0
147,174,Directed,174,P4,1.0
174,175,Directed,175,P78,1.0
1,180,Directed,180,-P31,1.0
180,181,Directed,181,P2,1.0
181,182,Directed,182,-P71,1.0
180,185,Directed,185,P3,1.0
180,187,Directed,187,P4,1.0
187,188,Directed,188,P78,1.0
1,192,Directed,192,-P34,1.0
192,193,Directed,193,P35,1.0
193,194,Directed,194,P2,1.0
194,195,Directed,195,-P71,1.0
193,198,Directed,198,P4,1.0
193,200,Directed,200,P2,1.0
200,201,Directed,201,-P71,1.0
193,204,Directed,204,P2,1.0
204,205,Directed,205,-P71,1.0
193,208,Directed,208,P2,1.0
208,209,Directed,209,-P71,1.0
193,212,Directed,212,-P67,1.0
212,213,Directed,213,P2,1.0
213,214,Directed,214,-P71,1.0
193,218,Directed,218,P3,1.0
193,220,Directed,220,-P138,1.0
220,221,Directed,221,P3,1.0
220,223,Directed,223,P3,1.0
1,228,Directed,228,P53,1.0
228,229,Directed,229,P87,1.0
229,230,Directed,230,P2,1.0
230,231,Directed,231,-P71,1.0
228,235,Directed,235,P87,1.0
235,236,Directed,236,P2,1.0
236,237,Directed,237,-P71,1.0
228,241,Directed,241,P87,1.0
241,242,Directed,242,P3,1.0
228,245,Directed,245,P10,1.0
245,246,Directed,246,-P71,1.0
228,249,Directed,249,P10,1.0
249,250,Directed,250,-P71,1.0
228,253,Directed,253,P10,1.0
253,254,Directed,254,-P71,1.0
1,258,Directed,258,BM.PX.is_related_to,1.0
258,259,Directed,259,P1,1.0
259,260,Directed,260,P2,1.0
260,261,Directed,261,-P71,1.0
1,266,Directed,266,-P92,1.0
266,267,Directed,267,P2,1.0
267,268,Directed,268,-P71,1.0
266,271,Directed,271,P4,1.0
271,272,Directed,272,P78,1.0
266,275,Directed,275,P3,1.0
266,277,Directed,277,P2,1.0
277,278,Directed,278,-P71,1.0
1,282,Directed,282,-P93,1.0
282,283,Directed,283,P2,1.0
283,284,Directed,284,-P71,1.0
282,287,Directed,287,P4,1.0
287,288,Directed,288,P78,1.0
282,291,Directed,291,P3,1.0
282,293,Directed,293,P2,1.0
293,294,Directed,294,-P71,1.0
1,298,Directed,298,P42,1.0
298,299,Directed,299,P2,1.0
299,300,Directed,300,-P71,1.0
298,303,Directed,303,P2,1.0
303,304,Directed,304,-P71,1.0
298,307,Directed,307,P3,1.0
298,309,Directed,309,P78,1.0
298,311,Directed,311,P1,1.0
298,313,Directed,313,P1,1.0
1,316,Directed,316,P42,1.0
316,317,Directed,317,-P71,1.0
