Id,Label,mergenode,businesstable
1,INVENTORY_RESOURCE.E18,INVENTORY_RESOURCE.E18,
2,OTHER_AFRH_W_DESIGNATION.E3,INVENTORY_RESOURCE.E18,
3,OTHER_AFRH_W_DESIGNATION_TYPE.E55,INVENTORY_RESOURCE.E18,domains
4,OTHER_AFRH_W_DESIGNATION_AUTHORITY_DOCUMENT.E32,INVENTORY_RESOURCE.E18,strings
7,OTHER_AFRH_W_DESIGNATION_STATUS.E55,INVENTORY_RESOURCE.E18,domains
8,OTHER_AFRH_W_DESIGNATION_STATUS_AUTHORITY_DOCUMENT.E32,INVENTORY_RESOURCE.E18,strings
11,OTHER_AFRH_W_DESIGNATION_DATE.E50,INVENTORY_RESOURCE.E18,dates
14,AFRH_W_HISTORIC_DISTRICT_EVALUATION.E3,INVENTORY_RESOURCE.E18,
15,HPMP_STATUS.E55,INVENTORY_RESOURCE.E18,domains
16,HPMP_AUTHORITY_DOCUMENT.E32,INVENTORY_RESOURCE.E18,strings
19,RELATIVE_LEVEL_OF_SIGNIFICANCE.E55,INVENTORY_RESOURCE.E18,domains
20,RELATIVE_LEVEL_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.E32,INVENTORY_RESOURCE.E18,strings
23,PERIOD_OF_SIGNIFICANCE.E55,INVENTORY_RESOURCE.E18,domains
24,PERIOD_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.E32,INVENTORY_RESOURCE.E18,strings
27,AREA_OF_SIGNIFICANCE.E55,INVENTORY_RESOURCE.E18,domains
28,AREA_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.E32,INVENTORY_RESOURCE.E18,strings
31,AFRH_W_HISTORIC_DISTRICT_STATE.E3,INVENTORY_RESOURCE.E18,
32,AFRH_W_HISTORIC_DISTRICT_STATUS_DATE.E50,INVENTORY_RESOURCE.E18,dates
34,AFRH_W_HISTORIC_DISTRICT_STATUS.E55,INVENTORY_RESOURCE.E18,domains
35,AFRH_W_HISTORIC_DISTRICT_STATUS_AUTHORITY_DOCUMENT.E32,INVENTORY_RESOURCE.E18,strings
41,COMPOSITE_SCORE.E60,INVENTORY_RESOURCE.E18,strings
42,CRITERION_A_SCORE.E60,COMPOSITE_SCORE.E60,strings
46,CRITERION_B_SCORE.E60,COMPOSITE_SCORE.E60,strings
