Source,Target,Type,Id,Label,Weight
1,2,Directed,2,-P7,1.0
2,3,Directed,3,P2,1.0
3,4,Directed,4,-P71,1.0
2,7,Directed,7,P4,1.0
7,8,Directed,8,P78,1.0
2,11,Directed,11,P3,1.0
1,14,Directed,14,P4,1.0
14,15,Directed,15,P3,1.0
14,17,Directed,17,P78,1.0
14,19,Directed,19,P2,1.0
19,20,Directed,20,-P71,1.0
1,24,Directed,24,P2,1.0
24,25,Directed,25,-P71,1.0
1,28,Directed,28,P2,1.0
28,29,Directed,29,-P71,1.0
1,32,Directed,32,P1,1.0
1,34,Directed,34,P3,1.0
34,35,Directed,35,P2,1.0
35,36,Directed,36,-P71,1.0
1,40,Directed,40,P7,1.0
40,41,Directed,41,P3,1.0
40,43,Directed,43,P87,1.0
